Gene,Value
4933434E20RIK,0.368441804
TPM3,9.635354549
RPS27,18.82840105
RAB13,0.486908252
JTB,0.955703911
SLC39A1,1.609766511
CRTC2,0.473031231
GATAD2B,0.662623076
NPR1,0.529128518
ILF2,0.846337525
CHTOP,1.150560295
S100A13,1.990181926
S100A16,2.566282324
S100A6,9.377353006
S100A11,10.13176496
S100A10,18.51264063
MRPL9,0.507108659
PSMB4,2.448017516
PSMD4,1.216923625
PIP5K1A,0.45703187
VPS72,0.395387758
GABPB2,0.3026727
CDC42SE1,1.078025209
MINDY1,0.429333919
CERS2,0.926422529
ENSA,0.644913516
MCL1,8.63733221
ECM1,0.420880647
PRPF3,0.304781873
MRPS21,0.533338951
APH1A,0.305298609
ANP32E,0.463834466
PLEKHO1,1.85697568
SF3B4,0.694566912
TXNIP,2.0243924
RBM8A,1.58008157
RNF115,0.856770208
PDE4DIP,0.308650041
SEC22B,0.620928916
NOTCH2,0.464901489
PHGDH,0.669206775
WDR3,0.30586814
MAN1A2,0.491420841
ATP1A1,4.776022918
CSDE1,1.960891391
NRAS,1.031594683
BCAS2,1.270568099
HIPK1,1.82297788
RHOC,6.202294338
CAPZA1,0.904318166
CTTNBP2NL,1.428923954
RAP1A,2.183845192
ATP5F1,3.432698126
WDR77,0.474801755
DRAM2,0.319957668
LAMTOR5,0.94274389
RBM15,0.358360138
CSF1,0.693114401
GNAI3,1.612601732
PSMA5,3.208381736
SARS,2.238946468
TAF13,0.330089071
STXBP3,0.483999336
PRPF38B,1.154173896
VAV3,0.656506008
S1PR1,4.8628503
GM9889,0.323674146
DPH5,0.481419119
SLC30A7,0.391408841
VCAM1,3.869673982
CDC14A,0.300475958
MFSD14A,0.657111299
PALMD,3.286355401
PTBP2,0.325083227
CNN3,3.731506172
ARHGAP29,3.649712596
GCLM,1.754156244
DNTTIP2,1.380138489
BCAR3,0.319869669
FNBP1L,0.340076443
1810037I17RIK,2.372092896
SEC24D,0.463178396
CAMK2D,1.558750512
LARP7,0.510176978
TIFA,1.156919524
AP1AR,0.340167274
FAM241A,0.49704005
GAR1,1.425618041
SEC24B,0.342268593
OSTC,1.254343992
RPL34,24.12514401
SGMS2,0.593806353
AIMP1,0.870089664
NPNT,4.426398891
CISD2,1.803685781
UBE2D3,8.829639528
NFKB1,3.213820156
PPP3CA,1.030273993
EMCN,10.26860374
H2AFZ,10.96094697
LAMTOR3,0.600953456
ADH5,0.534014566
METAP1,0.385620198
EIF4E,2.833591073
TSPAN5,0.990642975
RAP1GDS1,0.38002842
PDLIM5,1.111779241
GBP5,1.841668378
GBP7,4.047287627
GBP3,2.19672259
GBP2B,0.64763774
GBP2,12.73358488
GTF2B,1.056720497
PKN2,1.305111115
LMO4,1.461723317
HS2ST1,0.465483884
SELENOF,5.988770715
SH3GLB1,8.624015747
CLCA3A2,0.313987394
ZNHIT6,0.336632054
CYR61,1.053882361
BCL10,1.641058732
2410004B18RIK,0.851878051
GNG5,14.88338526
RPF1,0.719184952
PRKACB,0.323024843
